ingredient,attribute,density,density_avg
abiyuch,raw,0.475,0.475
acerola,(west indian cherry),0.408333333,0.408333333
acerola juice,raw,1.008333333,1.008333333
wine,,1,1
alfalfa seeds,sprouted,0.170790816,0.170790816
amaranth grain,cooked,1.025,0.914583333
amaranth grain,uncooked,0.804166667,0.914583333
amaranth leaves,cooked,0.55,0.333333333
amaranth leaves,raw,0.116666667,0.333333333
apple juice,canned,1.033333333,1.014583333
apple juice,frozen,0.995833333,1.014583333
applebee's,chili,0.566666667,0.541666667
applebee's,kraft,0.516666667,0.541666667
apples,dehydrated (low moisture),0.527083333,0.694791667
apples,dried,0.8625,0.694791667
applesauce,canned,1.030208333,1.030208333
apricot nectar,canned,1.108333333,1.108333333
apricots,dehydrated (low-moisture),0.766666667,0.8875
apricots,frozen,1.008333333,0.8875
arrowroot flour,,0.533333333,0.533333333
artichokes,(globe or french),0.7,0.7
arugula,raw,0.041666667,0.041666667
asparagus,canned,0.675,0.589583333
asparagus,cooked,0.375,0.589583333
asparagus,frozen,0.75,0.589583333
asparagus,raw,0.558333333,0.589583333
bacon,meatless,0.6,0.6
bacon bits,meatless,0.476190476,0.476190476
balsam-pear (bitter gourd),leafy tips,0.194444444,0.194444444
bananas,dehydrated,0.419217687,0.419217687
barley,hulled,0.766666667,0.755208333
barley,pearled,0.74375,0.755208333
barley flour,,0.616666667,0.616666667
barley malt flour,,0.675,0.675
adzuki beans,adzuki,0.992708333,0.992708333
baked beans,baked,1.058854167,1.058854167
black turtle beans,black turtle,0.827083333,0.827083333
chili beans,chili,1.054166667,1.054166667
cranberry (roman) beans,cranberry (roman),0.842708333,0.842708333
fava beans,fava,0.525,0.525
beans,white,0.77,0.793386
beans,black,0.816772959,0.793386
french beans,french,0.747222222,0.747222222
great northern beans,great northern,0.884166667,0.884166667
kidney beans,kidney,0.831037415,0.831037415
liquid from stewed kidney beans beans,liquid from stewed kidney beans,1,1
mung beans,mung,0.520833333,0.520833333
navy beans,navy,0.781666667,0.781666667
pink beans,pink,0.761111111,0.761111111
pinto beans,pinto,0.795464853,0.795464853
shellie beans,shellie,1.020833333,1.020833333
small white beans,small white,0.795833333,0.795833333
snap beans,snap,0.562708333,0.562708333
white beans,white,0.832886905,0.832886905
yellow beans,yellow,0.763888889,0.763888889
beef,corned beef hash,0.983333333,0.983333333
beet greens,raw,0.158333333,0.158333333
beets,canned,1.025,0.795833333
beets,raw,0.566666667,0.795833333
coffee,,0.640235261,0.867176871
blackberry,canned,1.066666667,0.773611111
blackberry,raw,0.6,0.773611111
blackberry,wild,0.654166667,0.773611111
blackberry juice,canned,1.041666667,1.041666667
blueberry,canned,1.041666667,0.788541667
blueberry,dried,0.166666667,0.788541667
blueberry,raw,0.616666667,0.788541667
blueberry,wild,1.329166667,0.788541667
boysenberry,canned,1.066666667,1.066666667
bread,,0.416666667,0.445833333
toast,,0.416666667,0.445833333
breadfruit,raw,0.916666667,0.916666667
broadbeans,immature seeds,0.454166667,0.454166667
broadbeans (fava beans),mature seeds,0.708269558,0.708269558
broccoli,chinese,0.366666667,0.478333333
broccoli,frozen,0.59,0.478333333
brussel sprouts,cooked,0.325,0.445833333
brussel sprouts,frozen,0.645833333,0.445833333
brussel sprouts,raw,0.366666667,0.445833333
buckwheat,,0.708333333,0.708333333
buckwheat flour,whole-groat,0.5,0.5
buckwheat groats,roasted,0.691666667,0.691666667
bulgur,cooked,0.664880952,0.624107143
bulgur,dry,0.583333333,0.624107143
butter,,0.955909864,0.848710317
butter,whipped,0.634311224,0.848710317
butter oil,anhydrous,0.862457483,0.862457483
butter replacement,without fat,0.333333333,0.333333333
butterbur,(fuki),0.391666667,0.391666667
japanese style cabbage,japanese style,0.625,0.559375
kimchi cabbage,kimchi,0.625,0.559375
mustard cabbage,mustard,0.533333333,0.559375
napa cabbage,napa,0.454166667,0.559375
caribou,hind quarter,0.275,0.275
carob flour,,0.418664966,0.418664966
carrot,dehydrated,0.308333333,0.308333333
carrot juice,canned,0.983333333,0.983333333
carrots,cooked,0.659863946,0.659863946
cassava,raw,0.858333333,0.858333333
catsup,,1.078231293,1.078231293
catsup,low sodium,1.078231293,1.078231293
cauliflower,green,0.266666667,0.266666667
celeriac,raw,0.65,0.65
celery,raw,0.510204082,0.510204082
cereals,,0.849971655,0.765486554
chard,swiss,0.15,0.15
cheese,,0.724357816,0.724357816
cheddar,american cheddar,0.933333333,0.933333333
camembert,,1.025,1.025
cottage cheese,cottage,0.942708333,0.942708333
cream cheese,cream,1.03021542,1.03021542
limburger,,0.558333333,0.558333333
mexican cheese,mexican,0.568537415,0.568537415
mozzarella,,0.358333333,0.358333333
parmesan,parmesan,0.378401361,0.378401361
ricotta,ricotta,0.770833333,0.770833333
cherry,sour,0.984166667,0.683611111
cherry,sweet,0.9,0.683611111
cherry juice,tart,1.120833333,1.120833333
chickpeas,bengal gram),0.845170068,0.845170068
chicory,witloof,0.1875,0.1875
chili,no beans,1,1
chili con carne with beans,canned entree,1.008333333,1.008333333
chili with beans,canned,1.07755102,1.047108844
chili with beans,microwavable bowls,1.016666667,1.047108844
chives,freeze-dried,0.008469388,0.008469388
chokecherries,raw,0.641666667,0.641666667
cocoa,dry powder,0.358304989,0.358304989
cilantro,raw,0.016666667,0.016666667
corn,sweet,0.846780303,0.717140152
corn,yellow,0.5875,0.717140152
corn bran,crude,0.316666667,0.316666667
corn flour,masa,0.475,0.484481293
corn flour,whole-grain,0.478443878,0.484481293
corn flour,yellow,0.5,0.484481293
corn grain,white,0.691666667,0.691666667
corn grain,yellow,0.691666667,0.691666667
corn pudding,home prepared,1.041666667,1.041666667
corn with red and green peppers,canned,0.945833333,0.945833333
cornmeal,degermed,0.654166667,0.589236111
cornmeal,white,0.597222222,0.589236111
cornmeal,whole-grain,0.508333333,0.589236111
cornmeal,yellow,0.597222222,0.589236111
cornsalad,raw,0.233333333,0.233333333
cornstarch,,0.533333333,0.533333333
potato starch,,0.533333333,0.533333333
couscous,dry,0.720833333,0.720833333
cowpeas,catjang,0.706944444,0.62353836
cowpeas,common (blackeyes,0.76922619,0.62353836
cowpeas,young pods with seeds,0.394444444,0.62353836
cowpeas (blackeyes),immature seeds,0.677083333,0.677083333
cracker,meal,0.479166667,0.479166667
cracker barrel,macaroni n' cheese,0.620833333,0.620833333
cracker barrel,macaroni n' cheese plate,0.620833333,0.620833333
cranberry,dried,0.166666667,0.166666667
cranberry juice,unsweetened,1.054166667,1.054166667
cranberry sauce,canned,1.154166667,0.579166667
cranberry sauce,jellied,0.291666667,0.579166667
cranberry sauce,whole,0.291666667,0.579166667
cranberry-orange relish,canned,1.145833333,1.145833333
cream,fluid,1.012287415,1.040741922
sour cream,sour,0.95085034,1.040741922
whipping cream,whipped,0.227040816,1.040741922
cress,garden,0.404166667,0.404166667
croutons,plain,0.125,0.145833333
croutons,seasoned,0.166666667,0.145833333
crab,,0.5625,0.5625
lobster,,0.604166667,0.604166667
shrimp,,0.533333333,0.533333333
currants,,0.466666667,0.466666667
bean dip,bean,2.448979592,2.448979592
frito's dip,frito's,2.448979592,2.448979592
salsa con queso dip,salsa con queso,1.28082483,1.28082483
tostitos dip,tostitos,1.28082483,1.28082483
dulce de leche,,1.292517007,1.292517007
edamame,frozen,0.56875,0.56875
egg white,white,0.744345238,0.72202381
egg,whole,0.779421769,0.72202381
egg yolk,yolk,0.642304422,0.72202381
eggnog,,1.058333333,1.058333333
eggplant,pickled,0.566666667,0.566666667
elderberry,raw,0.604166667,0.604166667
epazote,raw,0.054421769,0.054421769
eppaw,raw,0.416666667,0.416666667
escarole,cooked,0.625,0.625
fat,chicken,0.862457483,0.863715278
figs,canned,1.0625,0.95625
figs,dried,0.85,0.95625
caviar,,1.088435374,1.088435374
herring,,0.583333333,0.583333333
mackerel,,0.791666667,0.791666667
roe,,0.952380952,0.952380952
sardine,,0.370833333,0.370833333
scup,,0.691666667,0.691666667
tuna salad,,0.854166667,0.854166667
fish broth,,1.016666667,1.016666667
fish oil,cod liver,0.917290249,0.912990363
fish oil,herring,0.917290249,0.912990363
fish oil,menhaden,0.895790816,0.912990363
fish oil,salmon,0.917290249,0.912990363
fish oil,sardine,0.917290249,0.912990363
caramel custard,,0.5875,0.5875
frijoles rojos volteados (refried beans,red,0.995620748,0.995620748
fungi,cloud ears,0.116666667,0.116666667
garlic,raw,0.569047619,0.569047619
ginger root,raw,0.408163265,0.408163265
goji berry,dried,1.904761905,1.904761905
gooseberry,canned,1.05,0.8375
gooseberry,raw,0.625,0.8375
grape juice,canned or bottled,1.054166667,1.054166667
grape leaves,raw,0.058333333,0.058333333
grapefruit,sections,1.0375,1.0375
grapefruit juice,pink,1.029166667,1.040833333
grapefruit juice,pink or red,1.05,1.040833333
grapefruit juice,white,1.043333333,1.040833333
grapes,american type (slip skin),0.383333333,0.685416667
grapes,canned,1.04375,0.685416667
grapes,red or green (european type,0.629166667,0.685416667
gravy,au jus,0.429039116,0.727564405
gravy,beef,0.970833333,0.727564405
gravy,brown,0.408163265,0.727564405
gravy,campbell's,0.5875,0.727564405
gravy,chicken,0.568983844,0.727564405
gravy,heinz home style,0.6,0.727564405
gravy,meat or poultry,0.983333333,0.727564405
gravy,mushroom,0.991666667,0.727564405
gravy,turkey,1.008560091,0.727564405
groundcherries,(cape-gooseberries or poha),0.583333333,0.583333333
guanabana nectar,canned,1.045833333,1.045833333
guava nectar,canned,1.045833333,1.045833333
guava sauce,cooked,0.991666667,0.991666667
guavas,common,0.6875,0.852083333
guavas,strawberry,1.016666667,0.852083333
ham and cheese spread,,1.020408163,1.020408163
ham salad spread,,1.020408163,1.020408163
hearts of palm,canned,0.608333333,0.608333333
hominy,canned,0.677083333,0.677083333
honey,,1.420535714,1.420535714
horned melon (kiwano),,0.970833333,0.970833333
horseradish,prepared,1.020408163,1.020408163
hummus,commercial,1.022704082,1.023852041
hummus,home prepared,1.025,1.023852041
hush puppies,prepared from recipe,0.633333333,0.633333333
hyacinth beans,mature seeds,0.830555556,0.830555556
hyacinth-beans,immature seeds,0.352777778,0.352777778
ice cream,soft serve,0.358333333,0.358333333
ice creams,chocolate,0.616666667,0.489583333
ice creams,vanilla,0.3625,0.489583333
incaparina,dry mix (corn and soy flours),0.569387755,0.569387755
jams and preserves,,1.360544218,1.221315193
jams and preserves,apricot,1.360544218,1.221315193
jams and preserves,no sugar (with sodium saccharin),0.942857143,1.221315193
java-plum,(jambolan),0.5625,0.5625
jellies,no sugar (with sodium saccharin),1.271258503,1.271258503
jellies,reduced sugar,1.271258503,1.271258503
jellyfish,dried,0.241666667,0.241666667
jute,potherb,0.280555556,0.280555556
kale,cooked,0.491666667,0.333333333
kale,frozen,0.420833333,0.333333333
kale,raw,0.0875,0.333333333
kanpyo,(dried gourd strips),0.1125,0.1125
kefir,lowfat,1.020833333,1.020833333
kfc,coleslaw,0.795833333,0.795833333
kohlrabi,raw,0.5625,0.5625
lambsquarters,steamed (northern plains indians),0.270833333,0.270833333
lard,,0.862457483,0.862457483
lasagna,vegetable,0.941666667,0.941666667
baking powder,,0.724489796,0.676020408
baking soda,,0.704081633,0.676020408
cream of tartar,,0.459183673,0.676020408
yeast,,0.816326531,0.676020408
leeks,(bulb and lower leaf-portion),0.370833333,0.189651361
lemon grass,raw,0.302848639,0.302848639
lemon juice,raw,1.016666667,1.016666667
lemon juice,bottled,1.030612245,1.024886621
lemon juice,canned,1.019160998,1.024886621
lemon peel,raw,0.408163265,0.408163265
lentils,mature seeds,0.830867347,0.68792517
lentils,pink or red,0.8,0.68792517
lentils,raw,0.8,0.68792517
lentils,sprouted,0.320833333,0.68792517
lima beans,immature seeds,0.716666667,0.76819846
lima beans,large,0.801817602,0.76819846
lima beans,thin seeded (baby),0.786111111,0.76819846
lime juice,canned or bottled,1.025,1.016666667
lime juice,raw,1.008333333,1.016666667
litchis,raw,0.791666667,0.791666667
liverwurst spread,,0.229166667,0.229166667
lotus root,cooked,0.25,0.25
lupins,mature seeds,0.711111111,0.711111111
macaroni and cheese,dry mix,0.825,0.697916667
macaroni and cheese,frozen entree,0.570833333,0.697916667
malabar spinach,cooked,0.183333333,0.183333333
malt beverage,includes non-alcoholic beer,0.9875,0.9875
mango nectar,canned,1.045833333,1.045833333
mangosteen,canned,0.9,0.9
half-fat margarine,,0.952380952,0.958293178
margarine,industrial,0.952465986,0.958293178
margarine,regular,0.955196523,0.958293178
margarine,spread,0.973129252,0.958293178
margarine-like,margarine-butter blend,0.95473356,0.96023715
margarine-like,vegetable oil spread,0.965740741,0.96023715
margarine-like shortening,industrial,0.952380952,0.952380952
margarine-like spread,smart balance light buttery spread,0.952380952,0.952380952
margarine-like vegetable-oil spread,stick/tub/bottle,0.95327381,0.95327381
marmalade,orange,1.346938776,1.346938776
mayonnaise,low sodium,0.942857143,0.98111182
mayonnaise,made with tofu,1.010204082,0.98111182
mayonnaise,reduced fat,0.993537415,0.98111182
mayonnaise,reduced-calorie or diet,0.977848639,0.98111182
mayonnaise dressing,no cholesterol,1.008120748,1.008120748
meat extender,,0.366666667,0.366666667
meatballs,meatless,0.6,0.6
skimmed milk,lowfat,1.020833333,1.020833333
full cream milk,whole,1.018537415,1.018537415
milk,,1.019685,1.019685
millet,cooked,0.725,0.548611111
millet,puffed,0.0875,0.548611111
millet,raw,0.833333333,0.548611111
millet flour,,0.495833333,0.495833333
miso,,1.151147959,1.151147959
molasses,,1.404166667,1.404166667
clam,,0.833333333,0.833333333
mussel,,0.625,0.625
oyster,,1.033333333,1.033333333
mothbeans,mature seeds,0.763888889,0.763888889
mulberry,raw,0.583333333,0.583333333
mung beans,mature seeds,0.765688776,0.765688776
mungo beans,mature seeds,0.7875,0.7875
mushrooms,canned,0.65,0.515
chanterelle,,0.225,0.515
morel,,0.275,0.515
straw mushrooms,straw,0.758333333,0.515
white mushrooms,white,0.666666667,0.515
mustard,prepared,1.0375,1.0375
natto,,0.729166667,0.729166667
noodles,chinese,0.583333333,0.462760417
noodles,egg,0.476041667,0.462760417
noodles,flat,0.1875,0.462760417
noodles,japanese,0.604166667,0.462760417
nopales,cooked,0.620833333,0.620833333
almond butter,,1.06505102,0.682118889
almond,,0.619047619,0.619047619
butternut,,0.5,0.5
cashew butter,,1.088435374,1.088435374
cashew,,0.585034014,0.585034014
chestnut,,0.615277778,0.615277778
coconut cream,,1.136564626,1.136564626
coconut,meat,0.3375,0.3375
coconut milk,,1.000481859,1.000481859
hickorynut,,0.5,0.5
mixed nuts,,0.574479167,0.574479167
pecans,,0.458333333,0.458333333
pilinut,,0.5,0.5
pine nut,,0.5625,0.5625
pistachio nut,,0.5125,0.5125
walnut,,0.530612245,0.530612245
oat bran,cooked,0.9125,0.652083333
oat bran,raw,0.391666667,0.652083333
oat flour,partially debranned,0.433333333,0.433333333
oats,,0.65,0.65
oheloberry,raw,0.583333333,0.583333333
almond oil,,0.91335034,0.91335034
apricot kernel oil,,0.91335034,0.91335034
avocado oil,,0.926360544,0.926360544
babassu oil,,0.917290249,0.917290249
canola oil,,0.926360544,0.926360544
cocoa butter oil,,0.91335034,0.91335034
coconut oil,,0.917290249,0.917290249
cooking and salad oil,,0.891666667,0.891666667
corn oil,,0.917290249,0.917290249
corn and canola oil,,0.942857143,0.942857143
cottonseed oil,,0.91335034,0.91335034
cupu assu oil,,0.91335034,0.91335034
flaxseed oil,,0.917793367,0.917793367
grapeseed oil,,0.91335034,0.91335034
hazelnut oil,,0.91335034,0.91335034
industrial oil,,0.917290249,0.917290249
mustard oil,,0.926360544,0.926360544
nutmeg butter oil,,0.917290249,0.917290249
oat oil,,0.917290249,0.917290249
olive oil,,0.909183673,0.909183673
palm oil,,0.914512472,0.914512472
peanut oil,,0.912244898,0.912244898
poppyseed oil,,0.91335034,0.91335034
rice bran oil,,0.91335034,0.91335034
safflower oil,,0.917290249,0.917290249
sesame oil,,0.91335034,0.91335034
sheanut oil,,0.91335034,0.91335034
soybean oil,,0.917290249,0.917290249
soybean lecithin oil,,0.91335034,0.91335034
sunflower oil,,0.919557823,0.919557823
teaseed oil,,0.91335034,0.91335034
tomatoseed oil,,0.91335034,0.91335034
ucuhuba butter oil,,0.917290249,0.917290249
vegetable oil,,0.930357143,0.930357143
walnut oil,,0.917290249,0.917290249
oil,,0.91648,0.91648
wheat germ oil,,0.91335034,0.91335034
okara,,0.508333333,0.508333333
okra,raw,0.416666667,0.416666667
olives,ripe,0.571428571,0.571428571
on the border,mexican rice,0.475,0.51875
on the border,refried beans,0.5625,0.51875
onion rings,breaded,0.2,0.2
onion,cooked,0.875,0.608206
onion,dehydrated flakes,0.199234694,0.608206
onion,frozen,0.875,0.608206
onion,powdered,0.4,0.608206
onion,fried,0.75,0.608206
onion,cubed,0.55,0.608206
green onion,young green,0.408163265,0.58934949
,,,
orange juice,canned,1.0375,1.043229167
orange juice,chilled,1.0375,1.043229167
orange juice,frozen concentrate,1.064583333,1.043229167
orange juice,raw (includes foods for usda's food distribution program),1.033333333,1.043229167
orange peel,raw,0.408163265,0.408163265
orange-grapefruit juice,canned or bottled,1.029166667,1.029166667
oranges,raw,0.708333333,0.708333333
pancakes,plain,0.216666667,0.216666667
papaya nectar,canned,1.041666667,1.041666667
parsley,freeze-dried,0.016522109,0.137512755
parsley,fresh,0.258503401,0.137512755
passion-fruit,(granadilla),0.983333333,0.983333333
passion-fruit juice,purple,1.029166667,1.029166667
passion-fruit juice,yellow,1.029166667,1.029166667
pasta,gluten-free,0.510416667,0.510416667
pasta with tomato sauce,no meat,0.991666667,0.991666667
pate,chicken liver,0.884353741,0.884353741
pate,goose liver,0.884353741,0.884353741
pate,liver,0.884353741,0.884353741
pate de foie gras,canned (goose liver pate),0.884353741,0.884353741
peach nectar,canned,0.995833333,0.995833333
peaches,canned,1.019444444,0.955092593
peaches,dehydrated (low-moisture),0.745833333,0.955092593
peaches,dried,1.1,0.955092593
peanut butter,chunk style,1.625935374,1.536352041
peanut butter,chunky,1.625935374,1.536352041
peanut butter,reduced sodium,1.088435374,1.536352041
peanut butter,smooth,1.625935374,1.536352041
peanut butter,smooth (includes foods for usda's food distribution program),1.625935374,1.536352041
peanut butter,smooth style,1.625935374,1.536352041
peanut butter with omega-3,creamy,1.088435374,1.088435374
peanut flour,defatted,0.25,0.25
peanut flour,low fat,0.25,0.25
peanut spread,reduced sugar,2.108843537,2.108843537
peanut,all types,0.608333333,0.605555556
peanut,spanish,0.611111111,0.605555556
peanut,valencia,0.602777778,0.605555556
peanut,virginia,0.6,0.605555556
pear nectar,canned,1.041666667,1.041666667
pears,canned,0.972916667,0.972916667
peas,edible-podded,0.653333333,0.656031659
peas,green,0.574358974,0.656031659
peas,green (includes baby and lesuer types),0.729166667,0.656031659
peas,mature seeds,0.5,0.656031659
peas,split,0.82329932,0.656031659
peas and carrots,canned,1.0625,0.690972222
peas and carrots,frozen,0.319444444,0.690972222
peas and onions,canned,0.5,0.547916667
peas and onions,frozen,0.595833333,0.547916667
pepeao,dried,0.1,0.1
peppermint,fresh,0.217687075,0.217687075
pepper,chili,0.579166667,0.347369615
pepper,hot chile,0.154166667,0.347369615
bell pepper,sweet,0.30877551,0.347369615
pickle relish,hamburger,0.764370748,0.849787415
pickle relish,hot dog,0.764370748,0.849787415
pickle relish,sweet,1.020620748,0.849787415
pickles,chowchow,1.020833333,1.020833333
cucumber,,0.645833333,0.645833333
pie crust,cookie-type,0.5375,0.5375
pie fillings,blueberry,1.091666667,1.095833333
pie fillings,cherry,1.1,1.095833333
pigeon peas (red gram),mature seeds,0.751388889,0.751388889
pigeonpeas,immature seeds,0.638888889,0.638888889
pimento,canned,0.808163265,0.808163265
pineapple juice,canned,1.041666667,1.041666667
pineapple juice,canned or bottled,1.041666667,1.041666667
pineapple juice,frozen concentrate,1.041666667,1.041666667
